"Method","Embedding file","Embedding dimension","Number of clusters (k)","Reduced dimension (q)","Tuning parameter (nu)","Runtime (seconds)","Average silhouette width","Calinski-Harabasz index","Probability silhouette","Within-cluster sum of squares","Status"
"FPDC","user_embeddings_128",128,5,3,6,179.9731,-0.201,44.7902,0.1281,NA,"ok"
"FPDC","user_embeddings_128",128,5,3,10,69.3417,-0.066,47.2816,0.0928,NA,"ok"
"FPDC","user_embeddings_128",128,5,4,6,165.2727,-0.0023,27.0937,0.1038,NA,"ok"
"FPDC","user_embeddings_128",128,5,4,10,57.4225,-0.028,27.1017,0.0588,NA,"ok"
"FPDC","user_embeddings_128",128,5,5,6,165.923,-0.0138,20.273,0.0436,NA,"ok"
"FPDC","user_embeddings_128",128,5,5,10,62.3621,-0.0163,18.615,0.0406,NA,"ok"
"FPDC","user_embeddings_128",128,6,2,6,186.6629,-0.1161,39.698,0.1082,NA,"ok"
"FPDC","user_embeddings_128",128,6,2,10,76.5423,-0.1481,39.2487,0.1143,NA,"ok"
"FPDC","user_embeddings_128",128,6,3,6,190.8695,-0.1726,40.3169,0.0977,NA,"ok"
"FPDC","user_embeddings_128",128,6,3,10,70.5998,-0.2041,39.4552,0.0861,NA,"ok"
"FPDC","user_embeddings_128",128,6,4,6,171.1352,-0.0581,24.6661,0.0651,NA,"ok"
"FPDC","user_embeddings_128",128,6,4,10,62.7267,-5e-04,20.9153,0.0808,NA,"ok"
"FPDC","user_embeddings_128",128,6,5,6,169.0613,-0.0368,17.1945,0.0455,NA,"ok"
"FPDC","user_embeddings_128",128,6,5,10,55.6167,-0.0117,15.0845,0.0553,NA,"ok"
"FPDC","user_embeddings_128",128,7,2,6,202.4931,-0.1306,34.8717,0.126,NA,"ok"
"FPDC","user_embeddings_128",128,7,3,6,189.5512,-0.2242,32.8983,0.0678,NA,"ok"
"FPDC","user_embeddings_128",128,7,3,10,77.7984,-0.2389,33.8959,0.1003,NA,"ok"
"FPDC","user_embeddings_128",128,7,4,6,173.2159,-0.0468,21.2177,0.0686,NA,"ok"
"FPDC","user_embeddings_128",128,7,4,10,63.6842,-0.0584,17.3101,0.0677,NA,"ok"
"FPDC","user_embeddings_128",128,7,5,6,171.4698,-0.0244,12.6783,0.0593,NA,"ok"
"FPDC","user_embeddings_128",128,7,5,10,59.2954,-0.0279,13.2115,0.0629,NA,"ok"
"FPDC","user_embeddings_128",128,8,2,6,196.2464,-0.1453,33.2866,0.0805,NA,"ok"
"FPDC","user_embeddings_128",128,8,2,10,82.2454,-0.1165,31.5298,0.1219,NA,"ok"
"FPDC","user_embeddings_128",128,8,4,6,175.9227,-0.0638,14.956,0.0562,NA,"ok"
"FPDC","user_embeddings_128",128,8,4,10,62.6751,-0.0653,16.3172,0.0752,NA,"ok"
"FPDC","user_embeddings_128",128,8,5,6,173.8241,-0.0261,9.4936,0.0438,NA,"ok"
"FPDC","user_embeddings_128",128,8,5,10,61.6865,-0.0211,9.5403,0.0545,NA,"ok"
"FPDC","user_embeddings_256",256,2,2,6,8177.823,0.0043,28.6417,0.1124,NA,"ok"
"FPDC","user_embeddings_256",256,2,2,10,2763.6593,0.0043,28.7922,0.1124,NA,"ok"
"FPDC","user_embeddings_256",256,2,3,6,8273.452,0.0045,28.6356,0.0961,NA,"ok"
"FPDC","user_embeddings_256",256,2,3,10,2865.7166,0.0044,28.4968,0.0961,NA,"ok"
"FPDC","user_embeddings_256",256,2,4,6,238.6489,0.0027,13.6708,0.0807,NA,"ok"
"FPDC","user_embeddings_256",256,2,4,10,81.747,0.0027,14.1457,0.0807,NA,"ok"
"FPDC","user_embeddings_256",256,2,5,6,237.193,9e-04,3.2169,0.0844,NA,"ok"
"FPDC","user_embeddings_256",256,2,5,10,81.8805,7e-04,2.8953,0.084,NA,"ok"
"FPDC","user_embeddings_256",256,3,2,6,170.196,-0.0556,63.405,0.1456,NA,"ok"
"FPDC","user_embeddings_256",256,3,2,10,63.7525,-0.0537,63.6118,0.1443,NA,"ok"
"FPDC","user_embeddings_256",256,3,3,6,167.4773,-0.0167,68.221,0.1187,NA,"ok"
"FPDC","user_embeddings_256",256,3,3,10,62.0204,-0.0154,68.3225,0.1137,NA,"ok"
"FPDC","user_embeddings_256",256,3,4,6,171.6641,0.0069,49.0779,0.079,NA,"ok"
"FPDC","user_embeddings_256",256,3,4,10,58.4384,0.0034,49.5395,0.0866,NA,"ok"
"FPDC","user_embeddings_256",256,3,5,6,171.4259,-0.0015,34.3342,0.0682,NA,"ok"
"FPDC","user_embeddings_256",256,3,5,10,56.6341,-0.0048,34.2914,0.0784,NA,"ok"
"FPDC","user_embeddings_256",256,4,2,6,184.8735,-0.1133,47.6771,0.1379,NA,"ok"
"FPDC","user_embeddings_256",256,4,2,10,60.8634,-0.1139,47.5722,0.1376,NA,"ok"
"FPDC","user_embeddings_256",256,4,3,6,193.9152,-0.0474,51.8339,0.105,NA,"ok"
"FPDC","user_embeddings_256",256,4,3,10,68.2787,-0.0546,51.7257,0.1058,NA,"ok"
"FPDC","user_embeddings_256",256,4,4,6,169.0047,-0.0156,33.1629,0.068,NA,"ok"
"FPDC","user_embeddings_256",256,4,4,10,59.5909,-0.0156,33.1138,0.0721,NA,"ok"
"FPDC","user_embeddings_256",256,4,5,6,167.7893,-0.0149,26.4718,0.0691,NA,"ok"
"FPDC","user_embeddings_256",256,4,5,10,55.9631,-0.0125,20.0377,0.0516,NA,"ok"
"FPDC","user_embeddings_256",256,5,2,6,188.3181,-0.1165,39.1467,0.1224,NA,"ok"
"FPDC","user_embeddings_256",256,5,2,10,67.7121,-0.1175,38.8729,0.1221,NA,"ok"
"FPDC","user_embeddings_256",256,5,3,6,186.1018,-0.0862,41.2268,0.1001,NA,"ok"
"FPDC","user_embeddings_256",256,5,3,10,71.1035,-0.2093,39.6039,0.109,NA,"ok"
"FPDC","user_embeddings_256",256,5,4,6,180.4872,-0.0295,25.6154,0.0669,NA,"ok"
"FPDC","user_embeddings_256",256,5,4,10,63.9005,-0.0275,25.4397,0.0739,NA,"ok"
